epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,39287.8,0.94064,0.66396,1.27338,0.83166,0.77149,0.81612,0.49947,1.34433,0.95647,1.64537,0.000346736,0.000346736,0.000346736
42,39881.2,0.91575,0.62713,1.2598,0.84581,0.77149,0.81897,0.50428,1.34354,0.93142,1.65438,0.000313729,0.000313729,0.000313729
43,40466.9,0.90329,0.61128,1.25099,0.8721,0.75751,0.83083,0.51532,1.31454,0.89269,1.61756,0.000280723,0.000280723,0.000280723
44,41057,0.86374,0.58092,1.21141,0.8116,0.77551,0.81382,0.50859,1.32484,0.91286,1.64535,0.000247716,0.000247716,0.000247716
45,61957.7,0.86147,0.56831,1.20994,0.85466,0.74208,0.81335,0.50437,1.31532,0.92433,1.63819,0.00021471,0.00021471,0.00021471
46,62570.2,0.84437,0.55142,1.20137,0.83172,0.76425,0.81492,0.50257,1.3232,0.90365,1.64765,0.000181703,0.000181703,0.000181703
47,63206.7,0.82546,0.54162,1.19214,0.85607,0.75458,0.82083,0.50754,1.31716,0.90996,1.65453,0.000148696,0.000148696,0.000148696
48,63870.2,0.81404,0.53249,1.17838,0.85579,0.757,0.81542,0.50815,1.32441,0.91516,1.65835,0.00011569,0.00011569,0.00011569
49,64410.6,0.80874,0.52957,1.17935,0.85277,0.77068,0.82237,0.50962,1.3205,0.90159,1.65361,8.26832e-05,8.26832e-05,8.26832e-05
50,65120.7,0.79575,0.51307,1.1676,0.8571,0.75136,0.81898,0.51351,1.31072,0.90282,1.64512,4.96766e-05,4.96766e-05,4.96766e-05
